STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/17,9.62,,,0.01,0,0,65,70,45,60,50,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/17,14.99,,,0,0,0,56,73,48,260,290,29.1,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/17,12.53,,,0,0,0,50,53,44,300,40,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/17,8.5,,,0,0,0,50,60,38,30,20,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/17,5.82,,,0,0,0,54,72,37,100,110,15,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/17,7.61,,,0,0,0,55,73,40,130,130,19.9,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/17,12.08,,,0,0,0,64,79,52,150,140,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/17,11.41,,,0.22,0,0,69,74,60,180,240,23,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/17,15.88,,,0.14,0,0,54,62,41,240,250,28,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/28/17,7.61,,,0,0,0,48,60,40,40,50,18.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/29/17,18.79,,,1.95,0,0,45,46,40,50,40,32,40.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/30/17,13.42,,,1.32,0,0,44,47,42,20,40,21,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/17,14.76,,,0.09,0,0,50,57,45,230,220,25.9,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/17,14.76,,,0.01,0,0,46,51,41,260,250,25.1,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/17,6.04,,,0,0,0,48,56,35,40,40,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/17,11.18,,,0,0,0,49,54,43,40,40,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/17,13.42,,,0,0,0,49,61,41,360,10,28,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/17,12.53,,,0.11,0,0,51,58,44,360,360,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/17,8.5,,,0,0,0,48,59,36,330,330,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/17,6.93,,,0.02,0,0,46,57,34,60,70,15,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/9/17,6.71,,,0.13,0,0,48,61,42,110,110,15,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/10/17,7.61,,,0.87,0,0,55,67,44,30,40,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/11/17,9.17,,,0,0,0,55,65,49,30,20,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/12/17,6.04,,,0,0,0,59,73,45,40,210,15,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/13/17,8.72,,,0,0,0,62,82,47,250,240,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/14/17,7.83,,,0,0,0,62,71,51,30,60,18.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/15/17,8.95,,,0.02,0,0,62,82,50,310,320,21.9,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/16/17,14.54,,,0,0,0,74,87,61,190,200,29.1,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/17/17,20.13,,,0.37,0,0,78,84,62,260,260,38.9,50.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/17,19.01,,,0,0,0,74,78,48,250,230,35.1,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/17,16.11,,,0.23,0,0,48,50,43,50,50,28,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/20/17,10.51,,,0.34,0,0,51,64,48,100,100,21.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/21/17,12.75,,,0.05,0,0,61,65,51,260,250,23,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/22/17,12.75,,,0.01,0,0,58,73,48,230,230,23,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/23/17,6.71,,,0.33,0,0,61,62,55,240,230,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/24/17,14.09,,,0.17,0,0,57,62,53,20,30,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/25/17,8.72,,,0,0,0,59,69,52,340,340,18.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/26/17,7.61,,,0.53,0,0,60,71,52,80,100,16.1,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/27/17,5.37,,,0,0,0,62,78,52,70,70,14.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/28/17,6.93,,,0,0,0,68,77,56,270,290,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/29/17,11.63,,,0,0,0,69,77,55,250,260,30,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/30/17,11.63,,,0,0,0,64,74,54,280,270,23.9,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/31/17,10.51,,,0,0,0,64,74,52,310,280,21.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/17,4.7,,,0,0,0,66,81,51,100,320,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/17,5.37,,,0,0,0,71,86,53,80,100,16.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/17,6.04,,,0,0,0,73,84,57,260,250,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/17,8.5,,,0,0,0,80,92,66,270,260,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/17,14.09,,,0,0,0,70,75,59,20,30,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/17,13.87,,,0,0,0,65,76,54,40,10,21.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/17,8.05,,,0,0,0,67,77,56,60,60,18.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/17,4.25,,,0.06,0,0,69,83,53,300,280,13,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/9/17,8.95,,,0,0,0,74,87,65,310,230,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/10/17,14.09,,,0,0,0,76,90,64,190,230,31.1,38.9
